,grade,dba_master,cuisine_description,lat,lng,grade_date
84,Z,PLAZA KING DELI,American,40.6101609,-73.922262,2018-04-27
85,A,STARBUCKS,Caf̩/Coffee/Tea,40.708882,-74.01143259999998,2018-04-27
87,A,KUNG FU TEA,Caf̩/Coffee/Tea,40.7474573,-73.88372660000002,2018-04-27
89,A,STARBUCKS,Caf̩/Coffee/Tea,40.7126253,-74.00821069999998,2018-04-27
90,A,SUSHI LIN,Japanese,40.6777804,-73.9726261,2018-04-27
91,A,MC GUINNESS'S,Irish,40.743574200000005,-73.91968109999998,2018-04-27
92,A,KENNEDY FRIED CHICKEN AND PIZZA,Chicken,40.8522925,-73.90427919999998,2018-04-27
93,A,N.Y. LIFE EXECUTIVE DINING ROOM .,American,40.7431194,-73.98605970000001,2018-04-27
96,Z,SUMMER,Vietnamese/Cambodian/Malaysia,40.735356,-73.88091399999998,2018-04-27
97,A,CAFE BEYOND,American,40.739841299999995,-73.994062,2018-04-27
98,A,JOE & THE JUICE,"Juice, Smoothies, Fruit Salads",40.75176810000001,-73.98039150000001,2018-04-27
99,A,CAFE METRO,American,40.7530765,-73.9804125,2018-04-27
100,A,146 NO. 1 YUMMY TACO,Chinese,40.673745600000004,-73.79122989999998,2018-04-27
102,Z,KOMBIT KREYOL,Caribbean,40.679387,-73.97378420000001,2018-04-27
103,Z,KAY'S BOUTIQUE CAFE,Caf̩/Coffee/Tea,40.7227913,-73.99569749999998,2018-04-27
104,A,TRIBECA ROOFTOP (10 DESBROSSES STREET),American,40.7235086,-74.00850319999998,2018-04-27
105,A,OX VERTE,American,40.714781099999996,-74.00666129999998,2018-04-27
106,A,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,40.663674900000004,-73.95111179999998,2018-04-27
107,A,NAP CAFE,American,40.752289700000006,-73.99000459999998,2018-04-27
108,A,HAIROS NIGHT CLUB,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.7477988,-73.88447109999998,2018-04-27
109,Z,INFINITY BAR,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.71378970000001,-73.75607790000001,2018-04-27
110,A,O.B'S BAKERY,Bakery,40.6784161,-73.77665920000001,2018-04-27
111,Z,BARLOVENTO,Spanish,40.743181899999996,-73.98022519999998,2018-04-27
112,A,FAY DA BAKERY,Bakery,40.7166948,-73.99808259999999,2018-04-27
113,A,MOJITOS  RESTAURANT BAR,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.755736799999994,-73.8862253,2018-04-27
114,A,"DUNKIN' DONUTS, BASKIN ROBBINS",Donuts,40.73583970000001,-73.97962829999999,2018-04-27
115,A,EMPANADA MAMA,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.7187674,-73.9910146,2018-04-27
116,A,NEW DYNASTY,Chinese,40.7494822,-73.9957893,2018-04-27
117,A,NUAN XIN FAN TUAN,Chinese,40.635849,-74.008811,2018-04-27
118,A,BARNES & NOBLE CAFE,Caf̩/Coffee/Tea,40.7157424,-74.0117272,2018-04-27
119,A,BAO BAO NOODLE,Chinese,40.7085281,-74.0136016,2018-04-27
120,A,SOL INCA,Peruvian,40.7563653,-73.8804287,2018-04-27
121,A,FORK & SPOON,Delicatessen,40.7502015,-73.9842655,2018-04-27
122,A,DUNKIN' DONUTS,Donuts,40.66307570000001,-73.96120129999998,2018-04-27
124,A,STARBUCKS,Caf̩/Coffee/Tea,40.718992,-74.00267570000003,2018-04-27
125,A,ALLEN RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.811698299999996,-73.89022709999998,2018-04-27
126,A,DELIGHT 28 RESTAURANT,Chinese,40.7150915,-73.998459,2018-04-27
127,A,GUY R CAFE SNACK CORNER,Caribbean,40.664053499999994,-73.76824049999998,2018-04-27
128,A,TAPPO,Pizza/Italian,40.7434659,-73.99147370000001,2018-04-27
129,Z,CHARLYS,American,40.7095464,-74.01200539999998,2018-04-27
130,A,DUNKIN' DONUTS,Donuts,40.7306442,-73.98341620000001,2018-04-27
131,A,SENECA FIESTA COFFEE BAR,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.704138,-73.90953499999998,2018-04-27
132,A,MARGARITA'S RESTAURANT & SPORT BAR,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.7497043,-73.8825907,2018-04-27
133,A,JIMBO'S HAMBURGER PALACE,Hamburgers,40.83918010000001,-73.8777906,2018-04-27
134,A,OH! BAGEL CAFE,Jewish/Kosher,40.614503899999995,-73.962823,2018-04-27
135,A,COLLEGE POINT DINER,American,40.785014700000005,-73.84588070000001,2018-04-27
136,Z,METROPOLITAN OPERA,American,40.7723961,-73.9833501,2018-04-27
137,A,DELICIAS MEXICANAS,Mexican,40.797367200000004,-73.9401267,2018-04-27
138,A,AMMOS ESTIATORIO,Greek,40.7543343,-73.9773555,2018-04-26
140,A,SUTTON BAR ROOM,American,40.75914789999999,-73.9619593,2018-04-26
141,A,SUBWAY,Sandwiches,40.825189200000004,-73.940586,2018-04-26
142,A,THE BELL HOUSE,American,40.6737185,-73.9916803,2018-04-26
143,A,CORNER DELHI,Indian,40.6812887,-73.9760584,2018-04-26
144,A,FONDA,Mexican,40.663619,-73.9845757,2018-04-26
145,Z,BAGEL HUT,Bagels/Pretzels,40.57907470000001,-74.10055030000001,2018-04-26
146,A,ENVY,Asian,40.7571745,-73.9686201,2018-04-26
147,A,EL VALLE SEAFOOD RESTAURANT,Spanish,40.8657158,-73.91967829999999,2018-04-26
148,A,THE COFFEE INN,Caf̩/Coffee/Tea,40.7668131,-73.95643799999998,2018-04-26
149,A,TWIN DONUT,Donuts,40.871094899999996,-73.9146889,2018-04-26
150,A,JOHN JAY DINING HALL,American,40.805802,-73.9624364,2018-04-26
151,A,MIDDLE EATS,Middle Eastern,40.7441545,-73.99524860000002,2018-04-26
152,A,V.I.P. CLUB,American,40.75906079999999,-73.7174903,2018-04-26
153,A,ITTADI GARDEN & GRILL,Bangladeshi,40.7474006,-73.8921963,2018-04-26
154,Z,THE QUIET MAN BAR,American,40.684833000000005,-73.84479999999998,2018-04-26
155,Z,STEAK AND HOAGIES,Chinese,40.796360799999995,-73.9472103,2018-04-26
156,A,QUEENS COLLEGE STUDENT UNION SA DINER,American,40.7341821,-73.8178186,2018-04-26
159,A,GRANDPA'S BRICK OVEN PIZZA,Pizza,40.8684145,-73.9195635,2018-04-26
160,Z,LIPS RESTAURANT,American,40.7593399,-73.9668179,2018-04-26
161,A,SUBWAY,Sandwiches/Salads/Mixed Buffet,40.69206629999999,-73.86159339999998,2018-04-26
162,Z,THE ORIGINAL CULPEPPERS RESTAURANT,Caribbean,40.6614388,-73.9510677,2018-04-26
163,A,RANO'S CHICKEN BURGERS,Chicken,40.789353999999996,-73.94067,2018-04-26
164,A,GYRO KING,Pakistani,40.6349655,-73.9627721,2018-04-26
165,A,WATAMI SUSHI AND GRILL,Asian,40.67207979999999,-73.97693079999998,2018-04-26
166,Z,IKEA,American,40.67197549999999,-74.0114608,2018-04-26
167,A,AVOCADO SUSHI II,Asian,40.58306279999999,-74.09697129999998,2018-04-26
168,Z,LONA PIZZA,Pizza,40.8714851,-73.8769085,2018-04-26
169,A,DOMENICO PIZZERIA,Pizza/Italian,40.56098,-74.1353598,2018-04-26
170,Z,BLACK SWAN,American,40.6890781,-73.95528089999998,2018-04-26
171,A,CHUEN HING KITCHEN,Chinese,40.691586,-73.819231,2018-04-26
172,A,RED MANGO,American,40.709931,-74.00659990000001,2018-04-26
176,A,HAWA,"Juice, Smoothies, Fruit Salads",40.7449512,-73.99900059999999,2018-04-26
177,A,JEN'S ROTI SHOP,Caribbean,40.65249439999999,-73.9590266,2018-04-26
178,A,DISHARI JAPANESE RESTAURANT,Japanese,40.8630254,-73.88988940000002,2018-04-26
179,A,PEYTON'S ALL NUDE PLAY PEN,American,40.6550576,-74.01043409999998,2018-04-26
180,A,HOUSE PIZZA,Pizza,40.8741032,-73.8845056,2018-04-26
181,A,HAI SUN RESTAURANT,Chinese,40.6575693,-73.96005459999998,2018-04-26
182,A,PEACHWAVE,"Ice Cream, Gelato, Yogurt, Ices",40.8593779,-73.8982703,2018-04-26
183,A,MIRACALI BAKERY #1,Bakery,40.7413797,-73.91916979999998,2018-04-26
184,Z,BARDOLINO PIZZA,Pizza,40.7866364,-73.95014929999998,2018-04-26
186,A,HEARTLAND BREWERY,American,40.756888000000004,-73.99177420000001,2018-04-26
193,Z,LITTLE OCHIE RESTAURANT & LOUNGE,Caribbean,40.651346600000004,-73.94350209999999,2018-04-26
194,A,18 RESTAURANT,Jewish/Kosher,40.774702000000005,-73.9546495,2018-04-26
195,Z,IMANI CARRIBEAN KITCHEN & BAR,Seafood,40.689401700000005,-73.97081259999999,2018-04-26
196,Z,TASTEE JERK,Caribbean,40.706387,-73.75748,2018-04-26
197,A,BELLA PIZZA,Pizza,40.863069200000005,-73.9016736,2018-04-26
198,A,TWO LIZARDS MEXICAN RESTAURANT,Mexican,40.768814299999995,-73.95556789999998,2018-04-26
199,A,BROOKLYN HABIT,Caf̩/Coffee/Tea,40.67799240000001,-73.9960648,2018-04-26
200,Z,SUNSHINE RESTAURANT,Indian,40.73658349999999,-73.71248729999998,2018-04-26
201,A,THE CHAMELEON BK,Caf̩/Coffee/Tea,40.660598,-73.96108199999998,2018-04-26
202,Z,JAVA DAY CAFE,Caf̩/Coffee/Tea,40.762970200000005,-73.8051335,2018-04-26
203,A,DENG JI RESTAURANT,Chinese,40.7499956,-73.8187069,2018-04-26
204,Z,BAKERY ON 3RD CAFE,Bakery,40.790288700000005,-73.9451897,2018-04-26
205,A,COOKIE CRUMZ,Bakery,40.74964019999999,-73.9503957,2018-04-26
206,A,DUNKIN' DONUTS,Donuts,40.751152399999995,-73.9854731,2018-04-26
207,A,HUANG MING HING,Chinese,40.6086059,-73.9735393,2018-04-26
208,A,JAPAS 38,Japanese,40.7507519,-73.9816313,2018-04-26
209,A,BO'S BAGELS,Bagels/Pretzels,40.80419699999999,-73.954091,2018-04-26
210,A,LITTLE CAESARS,Pizza,40.6859951,-73.79397759999998,2018-04-26
211,A,TASTY MUG CAFE,Caf̩/Coffee/Tea,40.7876856,-73.94772409999999,2018-04-26
212,A,KAM KITCHEN,Chinese,40.691763,-73.8121182,2018-04-26
213,A,PUNJABI VIRSA RESTAURANT,Indian,40.690025,-73.826697,2018-04-26
214,A,LA BROCHETTE STEAKHOUSE.,Jewish/Kosher,40.7498478,-73.97742439999998,2018-04-26
215,A,BUTCHER'S CUT,Korean,40.7653019,-73.8201783,2018-04-26
216,A,THE PENROSE UPPER EAST SIDE,Irish,40.77545739999999,-73.95318,2018-04-26
217,Z,MISS ADA,Mediterranean,40.689425,-73.97236640000001,2018-04-26
218,A,MI PEQUENO EL SALVADOR RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.7508817,-73.8723931,2018-04-26
219,A,GOLDEN BIRD CHINESE RESTAURANT,Chinese,40.6454064,-73.94876009999999,2018-04-26
220,A,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,40.694239,-73.75211300000002,2018-04-26
221,Z,ASIAN WOK,Asian,40.709189,-74.005899,2018-04-26
222,A,MIRADOR RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.8677316,-73.89939989999998,2018-04-26
223,A,"Kennedy's Chicken, Pizza & Burgers",Chicken,40.869276299999996,-73.9027777,2018-04-26
224,A,STICKY'S FINGER JOINT #1,Chicken,40.7330751,-73.99788889999998,2018-04-26
225,A,HANG YAN,Chinese,40.70224,-73.81710199999998,2018-04-26
226,A,J'EATJET BAR,American,40.661483700000005,-73.99303470000001,2018-04-26
227,Z,KEBAB EMPIRE,Chinese,40.7594481,-73.8291066,2018-04-26
258,Z,TWIST AND SMASH'D SPORTS,American,40.75655099999999,-73.92133170000001,2018-04-26
259,A,SUBWAY,Sandwiches,40.7543343,-73.9773555,2018-04-26
261,A,LA FONDA RESTAURANT AND TAPAS BAR,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.791959399999996,-73.94500599999998,2018-04-26
262,Z,NEW SZECHUAN HOUSE,Chinese,40.7459438,-73.91402839999998,2018-04-26
263,A,MEI JUNG MEI CHINESE RESTAURANT,Chinese,40.636227000000005,-73.9515728,2018-04-26
264,A,HOT BAGELS,Bagels/Pretzels,40.7135015,-73.8740217,2018-04-26
265,Z,ANKA GRILL,Turkish,40.7593497,-73.9705395,2018-04-26
266,A,LAZZARAS PIZZA CAFE,Pizza,40.7540255,-73.98953359999999,2018-04-26
268,Z,PRO THAI,Thai,40.7888244,-73.9484502,2018-04-26
269,A,FOOD FOR THOUGHT LIBRARY CAFE,Caf̩/Coffee/Tea,40.6079899,-74.1573653,2018-04-26
271,A,GOOD JOY,Chinese,40.6893821,-73.97067489999998,2018-04-26
272,Z,AL-MEHRAN RESTAURANT,Indian,40.7081178,-73.80326869999998,2018-04-26
273,A,LUCKY 13 SALOON,American,40.67816699999999,-73.983603,2018-04-26
274,A,FRANKIE & JOHNNIE'S STEAKHOUSE,Steak,40.7508331,-73.9849083,2018-04-26
275,Z,LUCK THAI RESTAURANT,Thai,40.670982099999996,-73.98504489999998,2018-04-26
276,A,NEW CHINESE GARDEN OF GUYANA,Chinese,40.6839898,-73.8324571,2018-04-26
277,A,ARCHWAY CAFE (57B on PEARL ST),American,40.702814399999994,-73.98723620000001,2018-04-26
279,Z,TEQUILLA SUNRISE,Mexican,40.7693963,-73.7735119,2018-04-26
280,A,BROOKLYN TAP HOUSE,American,40.6939421,-73.960788,2018-04-26
281,A,BLARNEY BAR,American,40.7019217,-73.808533,2018-04-26
282,A,SINIGUAL RESTAURANT,Mexican,40.750812100000005,-73.9755335,2018-04-26
283,A,CANLON'S RESTAURANT,Italian,40.565203600000004,-74.1268175,2018-04-26
284,A,BAY BAGELS,American,40.61503870000001,-73.98050490000001,2018-04-26
285,A,CUCINA FRESCA,Pizza/Italian,40.5814371,-74.1112871,2018-04-26
286,A,LIMA 33,Peruvian,40.77153920000001,-73.73438270000001,2018-04-26
287,A,SUBWAY,Sandwiches,40.6128461,-74.1211864,2018-04-26
288,A,PIZZA BOY I,Pizza,40.7488283,-73.8916536,2018-04-26
289,A,LOS GIRASOLES RESTAURANT,Mexican,40.863183299999996,-73.89000899999998,2018-04-26
290,A,HATSUHANA RESTAURANT,Japanese,40.757031700000006,-73.97691929999998,2018-04-26
291,Z,ALFONSO'S PASTRY SHOPPE,Bakery,40.61298530000001,-74.1273681,2018-04-26
292,Z,LE PETIT CAFE,American,40.67672109999999,-73.9988194,2018-04-26
293,Z,THE WHEELTAPPER,American,40.7527018,-73.97444920000001,2018-04-26
295,Z,UP THAI,Thai,40.769951,-73.9578638,2018-04-25
296,A,THE GREEK KITCHEN  CLINTON BAKERY CAFE,Greek,40.769811700000005,-73.9885192,2018-04-25
297,A,THE UNCOMMONS,Caf̩/Coffee/Tea,40.7293436,-73.9987498,2018-04-25
299,A,MARQUIS THEATER,American,40.7587183,-73.9862168,2018-04-25
311,A,FOREST BAGELS,American,40.626375700000004,-74.12929489999998,2018-04-25
312,Z,PARRILLA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.8385165,-73.9411485,2018-04-25
314,A,LA ABUNDANCIA,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.7491688,-73.87203769999998,2018-04-25
315,A,O'FLANAGAN'S,American,40.763783200000006,-73.9591418,2018-04-25
316,A,SHAXIAN DELICACIES,Chinese,40.641612200000004,-74.0028286,2018-04-25
317,Z,HEARTLAND BREWERY,American,40.756168200000005,-73.98456399999998,2018-04-25
318,A,PANERA BREAD,American,40.747739700000004,-73.99337390000001,2018-04-25
320,Z,PONGSRI THAI RESTAURANT,Thai,40.76067750000001,-73.98656120000001,2018-04-25
321,A,NIU NOODLE HOUSE,Chinese,40.7343666,-73.9999945,2018-04-25
322,A,GOLDEN THEATRE,American,40.7587209,-73.98796870000001,2018-04-25
323,A,HARU,Japanese,40.7573564,-73.98763389999998,2018-04-25
324,A,MORETTI BAKERY,Bakery,40.6297064,-74.11051499999998,2018-04-25
325,Z,METATE MEXICAN RESTAURANT,Mexican,40.886075700000006,-73.9100835,2018-04-25
326,A,ALMAR,American,40.7025912,-73.9890527,2018-04-25
327,A,IVY,American,40.7657431,-73.98318130000001,2018-04-25
328,A,STARBUCKS,Caf̩/Coffee/Tea,40.7182903,-74.00000039999998,2018-04-25
329,Z,POURING RIBBONS,American,40.729061200000004,-73.97811309999999,2018-04-25
330,A,THE RESTAURANT,American,40.587065700000004,-73.8116321,2018-04-25
331,A,SUSHI DOJO,Japanese,40.726627799999996,-73.98565440000002,2018-04-25
332,A,MEE SUM CAFE,Caf̩/Coffee/Tea,40.715051,-73.9983,2018-04-25
333,A,THE ELK,American,40.73414289999999,-74.0074042,2018-04-25
334,A,TONY'S DI NAPOLI,Italian,40.756485,-73.9854363,2018-04-25
335,A,NEW YORK BAGELS & DELI,Bagels/Pretzels,40.802893,-73.93002179999998,2018-04-25
336,Z,GOTTSCHEER HALL,German,40.7067838,-73.90541710000002,2018-04-25
337,A,BILLY'S BAKERY,Bakery,40.764220200000004,-73.9742747,2018-04-25
341,A,CHERRY TAVERN,American,40.7258174,-73.98431219999998,2018-04-25
342,Z,SUMO TERIYAKI & SUSHI JAPANESE RESTAURANT,Japanese,40.711958200000005,-73.9571406,2018-04-25
343,A,P. J. LEAHY'S BAR & GRILL,American,40.7426623,-73.9543666,2018-04-25
344,A,LATIN CABANA,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.7560968,-73.9209872,2018-04-25
345,A,WHITE CASTLE,Hamburgers,40.8220756,-73.8974707,2018-04-25
346,Z,CANTINA ROOFTOP,American,40.7650313,-73.99603959999999,2018-04-25
348,A,STARBUCKS,Caf̩/Coffee/Tea,40.734866,-73.9896604,2018-04-25
350,A,RED MOON,Japanese,40.7571907,-73.9844262,2018-04-25
351,A,YUCA BAR & RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.726205900000004,-73.9836212,2018-04-25
352,A,GRAMERCY PARK BAR,American,40.7351539,-73.9826324,2018-04-25
353,A,LIEBMAN'S DELI,Jewish/Kosher,40.8854948,-73.90969969999998,2018-04-25
354,A,VESUVIO PIZZA,Pizza,40.865269399999995,-73.8680202,2018-04-25
355,A,BLARNEY CASTLE,American,40.5609017,-73.91700990000001,2018-04-25
356,A,NEW SHENG CHINESE KITCHEN,Chinese,40.826987200000005,-73.8881468,2018-04-25
358,A,POINT BREAK,American,40.7555079,-73.9805925,2018-04-25
359,A,LUCKY EIGHT RESTAURANT,Chinese,40.6399625,-74.0052121,2018-04-25
360,A,CARAVAN OF DREAMS,Vegetarian,40.7263961,-73.98565440000002,2018-04-25
361,A,NY FAMILY PIZZA,Pizza/Italian,40.58317830000001,-74.0952882,2018-04-25
362,A,WESTSIDE TAVERN,American,40.74611970000001,-74.0009312,2018-04-25
363,A,KENNDY FRIED CHICKEN,American,40.8375108,-73.86618299999998,2018-04-25
364,A,JIMBO'S HAMBURGER PLACE,American,40.7567359,-73.96437900000001,2018-04-25
365,Z,RED ROBIN GOURMET BURGERS AND BREW,American,40.8636318,-73.8274021,2018-04-25
381,A,LEON BAKERY,Bakery,40.762156899999994,-73.99018819999998,2018-04-25
382,A,CONNECTICUT MUFFIN,American,40.6759458,-73.94977870000002,2018-04-25
383,A,MAMA MIA 44 SW,Italian,40.759738399999996,-73.99201009999999,2018-04-25
384,Z,TANG,Korean,40.7575455,-73.7838675,2018-04-25
385,A,MCDONALD'S,American,40.6652422,-73.7561058,2018-04-25
386,A,GOMI-WINE-FOOD-FRIENDS,Tapas,40.728815999999995,-73.9812812,2018-04-25
387,A,BLACK ROCK CAFE,American,40.7611804,-73.97881939999998,2018-04-25
388,A,GOTHAM PIZZA,Pizza,40.76297879999999,-73.98528759999998,2018-04-25
389,A,LA GITANA PANADERIA - RESTAURANTE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.6927346,-73.8541851,2018-04-25
390,A,MAMABITES,American,40.749352,-73.939059,2018-04-25
392,A,SUBWAY,Sandwiches,40.8165385,-73.93937989999998,2018-04-25
393,A,cloud social,American,40.747220500000005,-73.9863775,2018-04-25
394,A,JACOB SOUL FOOD RESTAURANT,Soul Food,40.8102807,-73.9440168,2018-04-25
395,A,WOOD AND ALES,American,40.7390917,-74.00159690000001,2018-04-25
396,A,SOUTH FIN GRILL/THE VANDERBILT,Italian,40.5891777,-74.06645490000001,2018-04-25
397,A,CANTINA MEXICANA,Spanish,40.5736494,-74.11608170000001,2018-04-25
398,A,MORINI OSTERIA ROMAGNOLA,Italian,40.7220095,-73.99780940000001,2018-04-25
399,A,THE TACO PLACE,Tex-Mex,40.728883200000006,-73.86337859999998,2018-04-25
400,A,MCDONALD'S,Hamburgers,40.87262399999999,-73.8523129,2018-04-25
401,A,PIG HEAVEN,Chinese,40.775450299999996,-73.95683919999998,2018-04-25
402,A,KAFANA,Eastern European,40.724313200000005,-73.9784425,2018-04-25
